# Column descriptions for data Run76. 0=eventtype (U/D), 1=event, 2=clockticks
U 0 138975358
U 1 139108074
D 2 139350543
D 3 139482284
D 4 142310694
D 5 142442690
U 6 142479564
U 7 142612489
U 8 144899545
U 9 145032487
D 10 145279431
D 11 145412175
D 12 148240673
D 13 148373572
U 14 148408114
U 15 148541773
U 16 150823422
U 17 150957451
D 18 151208924
D 19 151342054
D 20 154169001
D 21 154302583
U 22 154334727
U 23 154469158
U 24 156746260
U 25 156880971
D 26 157136702
D 27 157270667
D 28 160096373
D 29 160230726
U 30 160260208
U 31 160395715
U 32 162667505
U 33 162803131
D 34 163063458
D 35 163198117
D 36 166022228
D 37 166157262
U 38 166184225
U 39 166320434
U 40 168587627
U 41 168724058
D 42 168988574
D 43 169124114
D 44 171947050
D 45 172082850
U 46 172107010
U 47 172244078
U 48 174506628
U 49 174643871
D 50 174912771
D 51 175049046
D 52 177870647
D 53 178007275
U 54 178028925
U 55 178166775
U 56 180424376
U 57 180562596
D 58 180835784
D 59 180972820
D 60 183793112
D 61 183930577
U 62 183949609
U 63 184088394
U 64 186341001
U 65 186480114
D 66 186757680
D 67 186895518
D 68 189714357
D 69 189852593
U 70 189869093
U 71 190008824
U 72 192256362
U 73 192396366
D 74 192678308
D 75 192816961
D 76 195634459
D 77 195773495
U 78 195787337
U 79 195927969
U 80 198170556
U 81 198311416
D 82 198597703
D 83 198737170
D 84 201553374
D 85 201693223
U 86 201704512
U 87 201846048
U 88 204083518
U 89 204225293
D 90 204515947
D 91 204656216
D 92 207471031
D 93 207611707
U 94 207620410
U 95 207762848
U 96 209995392
U 97 210138076
D 98 210433099
D 99 210574183
D 100 213387633
D 101 213529114
U 102 213535275
U 103 213678626
U 104 215906097
U 105 216049720
D 106 216349141
D 107 216491051
D 108 219303127
D 109 219445441
U 110 219449008
U 111 219593282
U 112 221815737
U 113 221960295
D 114 222264073
D 115 222406827
D 116 225217527
D 117 225360668
U 118 225361684
U 119 225506894
U 120 227724212
U 121 227869703
D 122 228177871
D 123 228321450
D 124 231130735
D 125 231274710
U 126 231273172
U 127 231419339
U 128 233631575
U 129 233778014
D 130 234090558
D 131 234234973
D 132 237042838
D 133 237187660
U 134 237183581
U 135 237330704
U 136 239537817
U 137 239685200
D 138 240002155
D 139 240147408
D 140 242953908
D 141 243099567
U 142 243092948
U 143 243241015
U 144 245443033
U 145 245591364
D 146 245912710
D 147 246058797
D 148 248863922
D 149 249010427
U 150 249001267
U 151 249150293
U 152 251347140
U 153 251496438
D 154 251822183
D 155 251969129
D 156 254772824
D 157 254920178
U 158 254908485
U 159 255058480
U 160 257250181
U 161 257400446
D 162 257730601
D 163 257878397
D 164 260680739
D 165 260828949
U 166 260814737
U 167 260965700
U 168 263152145
U 169 263303388
D 170 263637957
D 171 263786605
D 172 266587551
D 173 266736630
U 174 266719903
U 175 266871866
U 176 269053070
U 177 269205295
D 178 269544283
D 179 269693793
D 180 272493407
D 181 272643355
U 182 272624118
U 183 272777072
U 184 274952977
U 185 275106201
D 186 275449611
D 187 275600001
D 188 278398218
D 189 278549046
U 190 278527301
U 191 278681256
U 192 280851969
U 193 281006183
D 194 281354015
D 195 281505273
D 196 284302082
